images,specification,feature,product_name
,"[{u'Model': '3308', u'Auger Diameter': '20""', u'Row Spacing': '30""', u'Chopping Capability': 'No', u'Recommended Combine Class': '6,7,8'}, {u'Model': '3308C', u'Auger Diameter': '20""', u'Row Spacing': '30""', u'Chopping Capability': 'Yes', u'Recommended Combine Class': '6,7,8'}, {u'Model': '3312', u'Auger Diameter': '20""', u'Row Spacing': '30""', u'Chopping Capability': 'No', u'Recommended Combine Class': '7,8'}, {u'Model': '3312C', u'Auger Diameter': '20""', u'Row Spacing': '30""', u'Chopping Capability': 'Yes', u'Recommended Combine Class': '7,8'}]","Standard Capabilities,High Performance Features,Optional Features",Massey Ferguson | 3300 Command Series Corn Heads
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9505-combines.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-7.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-5.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/9500-series-axial-combines/Gallery/massey-ferguson-9565-combine-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Engine': u'AGCO POWER\u2122 9.8L 7 Cylinder', u'Transmission': '2-speed hydrostatic / 4-speed', u'Model': '9545', u'Rated hp (kW)': '375 (280)', u'Max Boost hp (kW)': '451 (336)'}, {u'Engine': u'AGCO POWER\u2122 9.8L 7 Cylinder', u'Transmission': '2-speed hydrostatic / 4-speed', u'Model': '9565', u'Rated hp (kW)': '460 (343)', u'Max Boost hp (kW)': '490 (365)'}]","Innovation,Capability,Comfort",Massey Ferguson | 9505 Series Axial Combines
,"[{u'Duty': 'Medium-Duty', u'Width (in)': '60', u'Model': 'DHM5', u'Engine HP Range': '28-70'}, {u'Duty': 'Medium-Duty', u'Width (in)': '72', u'Model': 'DHM6', u'Engine HP Range': '32-70'}, {u'Duty': 'Medium-Duty', u'Width (in)': '84', u'Model': 'DHM7', u'Engine HP Range': '36-70'}]",,Massey Ferguson | Disc Harrows
,"[{u'Cutting Width ft (m)': '25 (7.6)', u'Cutter Bar': 'High Capacity or SCH', u'Model': '9255-25', u'Cutter Bar Float in (mm)': '8 (203.2)'}, {u'Cutting Width ft (m)': '30 (9.1)', u'Cutter Bar': 'High Capacity or SCH', u'Model': '9255-30', u'Cutter Bar Float in (mm)': '8 (203.2)'}, {u'Cutting Width ft (m)': '35 (10.7)', u'Cutter Bar': 'High Capacity or SCH', u'Model': '9255-35', u'Cutter Bar Float in (mm)': '8 (203.2)'}, {u'Cutting Width ft (m)': '40 (12.1)', u'Cutter Bar': 'High Capacity or SCH', u'Model': '9255-40', u'Cutter Bar Float in (mm)': '8 (203.2)'}]","Innovation,Capability",Massey Ferguson | 9255 DynaFlex Draper Header
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8660-series-row-crop-tractor-5.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/gallery-massey-ferguson-8600-series-row-crop-tractor-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/gallery-massey-ferguson-8650-row-crop-tractor-series-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8600-series-row-crop-tractor-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/gallery-massey-ferguson-8650-row-crop-tractor-series-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8600-series-row-crop-tractor-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8660-row-crop-tractor-series-5.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8600-series-row-crop-tractor-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/massey-ferguson-8600-series--row-crop-tractor-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8600 Series Row Crop/Gallery/gallery-massey-ferguson-8600-series-row-crop-tractor-4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-shawn-gingue.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-larry-flom.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-robert-dasher-2.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-rod-birchen.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-robert-dasher-2.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-robert-dasher.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-shawn-gingue.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-rod-birchen.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-shawn-gingue-2.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-larry-flom-2.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-phillip-saunders.jpg/jcr:content/renditions/original,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-shawn-gingue-2.jpg/jcr:content/renditions/original","[{u'Max HP': '270', u'Rated HP @ 2200 rpm': '240', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '21,336', u'PTO HP': '205', u'Emissions Level': 'Tier 4 Interim', u'Model': '8650'}, {u'Max HP': '300', u'Rated HP @ 2200 rpm': '265', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '21,336', u'PTO HP': '225', u'Emissions Level': 'Tier 4 Interim', u'Model': '8660'}, {u'Max HP': '320', u'Rated HP @ 2200 rpm': '290', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '21,336', u'PTO HP': '250', u'Emissions Level': 'Tier 4 Interim', u'Model': '8670'}, {u'Max HP': '350', u'Rated HP @ 2200 rpm': '320', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '21,336', u'PTO HP': '275', u'Emissions Level': 'Tier 4 Interim', u'Model': '8680'}, {u'Max HP': '370', u'Rated HP @ 2200 rpm': '340', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '21,336', u'PTO HP': '290', u'Emissions Level': 'Tier 4 Interim', u'Model': '8690'}]","Innovation,Capability,Comfort",Massey Ferguson | 8600 Series Row Crop Tractor
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-b2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-h.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-j.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-l.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-a.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-axial-combines-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9560-series-combines.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-i.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9500 Series Axial Combines/Gallery/massey-ferguson-9500-series-combines-k.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/Calvin-Bush.jpg/jcr:content/renditions/original","[{u'Model': '9520', u'Bulge hp (kW)': '344 (257)', u'Unload Boost hp (kW)': '343 (256)', u'Engine hp (kW)': '313 (234)'}, {u'Model': '9540', u'Bulge hp (kW)': '426 (318)', u'Unload Boost hp (kW)': '426 (318)', u'Engine hp (kW)': '370 (276)'}, {u'Model': '9560', u'Bulge hp (kW)': '477 (356)', u'Unload Boost hp (kW)': '502 (374)', u'Engine hp (kW)': '460 (343)'}]","Innovation,Capability,Comfort",Massey Ferguson | 9500 Series Axial Combines
,"[{u'Width (in)': '44', u'Model': 'TS44', u'Rotation': 'Forward', u'PTO HP Range': '18-30'}, {u'Width (in)': '44', u'Model': 'TSR44', u'Rotation': 'Reverse', u'PTO HP Range': '18-30'}, {u'Width (in)': '52', u'Model': 'TS52', u'Rotation': 'Forward', u'PTO HP Range': '18-30'}, {u'Width (in)': '52', u'Model': 'TSR52', u'Rotation': 'Reverse', u'PTO HP Range': '18-30'}, {u'Width (in)': '60', u'Model': 'TS60', u'Rotation': 'Forward', u'PTO HP Range': '18-30'}, {u'Width (in)': '60', u'Model': 'TSR60', u'Rotation': 'Reverse', u'PTO HP Range': '18-30'}, {u'Width (in)': '60', u'Model': 'TC60', u'Rotation': 'Forward', u'PTO HP Range': '20-40'}, {u'Width (in)': '60', u'Model': 'TCR60', u'Rotation': 'Reverse', u'PTO HP Range': '20-40'}, {u'Width (in)': '68', u'Model': 'TC68', u'Rotation': 'Forward', u'PTO HP Range': '20-40'}, {u'Width (in)': '68', u'Model': 'TCR68', u'Rotation': 'Reverse', u'PTO HP Range': '20-40'}, {u'Width (in)': '74', u'Model': 'TC74', u'Rotation': 'Forward', u'PTO HP Range': '20-40'}, {u'Width (in)': '74', u'Model': 'TCR74', u'Rotation': 'Reverse', u'PTO HP Range': '20-40'}]",,Massey Ferguson | Forward and Reverse Rotary Tiller
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-series-row-crop-tractor-8.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-series-row-crop-tractor-9.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-series-row-crop-tractor-6.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8700-series-row-crop-tractor-5.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8700-series-row-crop-tractor-7.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-row-crop-series-tractor-2270XD-LSB.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-row-crop-series-tractor-tilling.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-series-row-crop-tractor-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8730-row-crop-series-tractor-pulling-sunflower-tillage.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/High Horsepower Tractors/8700 Series Row Crop/Gallery/massey-ferguson-8700-series-row-crop-tractor-10.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Testimonial Images/testimonial-8600-quote-tharran-gaines.jpg/jcr:content/renditions/original","[{u'Max HP': '270', u'Rated HP @ 2200 rpm': '240', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '26,455', u'PTO HP': '205', u'Emissions Level': 'Tier 4 Final', u'Model': '8727'}, {u'Max HP': '300', u'Rated HP @ 2200 rpm': '265', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '26,455', u'PTO HP': '225', u'Emissions Level': 'Tier 4 Final', u'Model': '8730'}, {u'Max HP': '320', u'Rated HP @ 2200 rpm': '290', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '26,455', u'PTO HP': '250', u'Emissions Level': 'Tier 4 Final', u'Model': '8732'}, {u'Max HP': '350', u'Rated HP @ 2200 rpm': '320', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '26,455', u'PTO HP': '275', u'Emissions Level': 'Tier 4 Final', u'Model': '8735'}, {u'Max HP': '370', u'Rated HP @ 2200 rpm': '340', u'Transmission': 'Dyna-VT (CVT)', u'Rear Lift Capacity @ link ends (lbs)': '26,455', u'PTO HP': '290', u'Emissions Level': 'Tier 4 Final', u'Model': '8737'}]","Innovation,Capability,Comfort",Massey Ferguson | 8700 Series Row Crop Tractor
,"[{u'Duty': 'Standard-Duty', u'Woods Model': 'TPD25', u'Auger Diameter x Length (in)': '6, 9, 12 x 36', u'PTO HP Range': '14-25'}, {u'Duty': 'Standard-Duty', u'Woods Model': 'TPD35', u'Auger Diameter x Length (in)': '6, 9, 12 x 36; 6, 9, 12, 18, 24, 36 x 48', u'PTO HP Range': '20-35'}, {u'Duty': 'Medium-Duty', u'Woods Model': 'TPD65', u'Auger Diameter x Length (in)': '6, 9, 12, 18, 24, 36 x 48', u'PTO HP Range': '25-65'}, {u'Duty': 'Heavy-Duty', u'Woods Model': 'TPD95', u'Auger Diameter x Length (in)': '6, 9, 12, 18, 24, 36 x 48', u'PTO HP Range': '35-95'}]",,Massey Ferguson | Post Hole Diggers
,"[{u'Working Width at Max Angle (in)': '39 3/16', u'Model': '2330', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '47 3/8'}, {u'Working Width at Max Angle (in)': '49', u'Model': '1415', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '61 1/8'}, {u'Working Width at Max Angle (in)': '60 1/2', u'Model': '1535', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '72'}]",,Massey Ferguson | Rotary Brooms
,"[{u'Duty': 'Standard-Duty', u'Width (in)': '52', u'Model': 'LRS52', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '60', u'Model': 'LRS60', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '72', u'Model': 'LRS72', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '72', u'Model': 'LRS72P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '72', u'Model': 'LRS106-2', u'PTO HP Range': '12-40'}, {u'Duty': 'Standard-Duty', u'Width (in)': '84', u'Model': 'LRS84P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '84', u'Model': 'LR107-2', u'PTO HP Range': '20-40'}, {u'Duty': 'Heavy-Duty', u'Width (in)': '84', u'Model': 'LR700', u'PTO HP Range': '20-60'}, {u'Duty': 'Standard-Duty', u'Width (in)': '96', u'Model': 'LRS96P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '96', u'Model': 'LR108-2', u'PTO HP Range': '20-40'}, {u'Duty': 'Heavy-Duty', u'Width (in)': '96', u'Model': 'LR800', u'PTO HP Range': '20-60'}]",,Massey Ferguson | Landscape Rakes
,"[{u'Duty': 'Standard-Duty', u'Width (in)': '48', u'Model': 'PSS48', u'PTO HP Range': '25-40'}, {u'Duty': 'Standard-Duty', u'Width (in)': '60', u'Model': 'PSS60', u'PTO HP Range': '30-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '72', u'Model': 'PSS72', u'PTO HP Range': '30-75'}, {u'Duty': 'Medium-Duty', u'Width (in)': '84', u'Model': 'PSS84', u'PTO HP Range': '35-85'}]",,Massey Ferguson | Precision Super Seeders
,"[{u'Duty': 'Standard-Duty', u'Width (in)': '53', u'Model': 'GSS54', u'Shanks': '-', u'PTO HP Range': '15-30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '53', u'Model': 'GSS54P', u'Shanks': '4', u'PTO HP Range': '15-30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '59', u'Model': 'GSS60', u'Shanks': '-', u'PTO HP Range': '20-45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '59', u'Model': 'GSS60P', u'Shanks': '4', u'PTO HP Range': '20-45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '71', u'Model': 'GSS72', u'Shanks': '-', u'PTO HP Range': '20-45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '71', u'Model': 'GSS72P', u'Shanks': '5', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '83', u'Model': 'GSM84', u'Shanks': '-', u'PTO HP Range': '30-65'}, {u'Duty': 'Medium-Duty', u'Width (in)': '83', u'Model': 'GSM84P', u'Shanks': '6', u'PTO HP Range': '30-65'}, {u'Duty': 'Medium-Duty', u'Width (in)': '95', u'Model': 'GSM96', u'Shanks': '-', u'PTO HP Range': '30-65'}, {u'Duty': 'Medium-Duty', u'Width (in)': '95', u'Model': 'GSM96P', u'Shanks': '6', u'PTO HP Range': '30-65'}]",,Massey Ferguson | Grading Scraper
,"[{u'Duty': 'Standard-Duty', u'Width (in)': '48', u'Model': 'GBC48', u'PTO HP Range': 'Up to 25'}, {u'Duty': 'Standard-Duty', u'Width (in)': '54', u'Model': 'BSS54', u'PTO HP Range': 'Up to 45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '60', u'Model': 'BSS60', u'PTO HP Range': 'Up to 45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '65', u'Model': 'BSS65', u'PTO HP Range': 'Up to 45'}, {u'Duty': 'Standard-Duty', u'Width (in)': '72', u'Model': 'BSS72', u'PTO HP Range': 'Up to 45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '72', u'Model': 'BSM72', u'PTO HP Range': '40-65'}, {u'Duty': 'Medium-Duty', u'Width (in)': '84', u'Model': 'BSM84', u'PTO HP Range': '40-65'}]",,Massey Ferguson | Box Scraper
,"[{u'Overall Height (in)': '17.5', u'Model': '2335', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '54'}, {u'Overall Height (in)': '19', u'Model': '2340', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '60'}, {u'Overall Height (in)': '22 1/2', u'Model': '1405', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '66'}, {u'Overall Height (in)': '22 3/8', u'Model': '1545', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '72'}, {u'Overall Height (in)': '22 3/8', u'Model': '1550', u'Lift Type': 'Hydraulic', u'Overall Width (in)': '84'}]",,Massey Ferguson | Dozer Blades
,"[{u'Duty': 'Standard-Duty', u'Width (in)': '54', u'Model': 'RBS54', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '60', u'Model': 'RBS60', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '60', u'Model': 'RBS60P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '71', u'Model': 'HBL72-2', u'PTO HP Range': '30-75'}, {u'Duty': 'Standard-Duty', u'Width (in)': '72', u'Model': 'RBS72', u'PTO HP Range': 'Up to 30'}, {u'Duty': 'Standard-Duty', u'Width (in)': '72', u'Model': 'RBS72P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '83', u'Model': 'HBL84-2', u'PTO HP Range': '30-75'}, {u'Duty': 'Heavy Duty', u'Width (in)': '83', u'Model': 'RB750', u'PTO HP Range': '50-100'}, {u'Duty': 'Standard-Duty', u'Width (in)': '84', u'Model': 'RBS84P', u'PTO HP Range': '20-45'}, {u'Duty': 'Medium-Duty', u'Width (in)': '95', u'Model': 'HBL96-2', u'PTO HP Range': '30-75'}, {u'Duty': 'Heavy Duty', u'Width (in)': '95', u'Model': 'RB850', u'PTO HP Range': '50-100'}, {u'Duty': 'Heavy Duty', u'Width (in)': '107', u'Model': 'RB990', u'PTO HP Range': '80-150'}, {u'Duty': 'Heavy Duty', u'Width (in)': '119', u'Model': 'RB1010', u'PTO HP Range': '80-150'}]",,Massey Ferguson | Rear Blades
,"[{u'Model': 'S15CD', u'Working Width (in)': '183', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '90'}, {u'Model': 'S20CD', u'Working Width (in)': '247', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '120'}, {u'Model': 'S22C', u'Working Width (in)': '271', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '132'}, {u'Model': 'S25CD', u'Working Width (in)': '303', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '150'}, {u'Model': 'S27CD', u'Working Width (in)': '327', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '162'}, {u'Model': 'S30CD', u'Working Width (in)': '363', u'Drive': 'Center', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '240'}]",,Massey Ferguson | Center Drive Flail Shredders
,"[{u'Model': 'S12ED', u'Working Width (in)': '144', u'Drive': 'End Drive', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '70'}, {u'Model': 'S15ED', u'Working Width (in)': '180', u'Drive': 'End Drive', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '90'}, {u'Model': 'S18ED', u'Working Width (in)': '216', u'Drive': 'End Drive', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '110'}, {u'Model': 'S20ED', u'Working Width (in)': '240', u'Drive': 'End Drive', u'Cutting Height (in)': '2-14', u'Minimum Tractor HP': '120'}]",,Massey Ferguson | End Drive Flail Shredders
